,suburb,sold_year,sold_month,count,avg_bedroom,avg_bathroom,avg_car_space,avg_land_size,avg_building_size,avg_built_year,avg_price,perth,east_perth,west_perth,northbridge,crawley,nedlands
77,Crawley,2020,12,2,1.0,1.0,1.0,48.0,46.5,1962.5,304500.0,0,0,0,0,1,0
78,Crawley,2021,1,3,2.6666666666666665,1.0,1.3333333333333333,119.66666666666667,102.0,1980.0,505000.0,0,0,0,0,1,0
79,Crawley,2021,2,2,1.5,1.0,1.0,56.0,52.0,1964.0,371000.0,0,0,0,0,1,0
80,Crawley,2021,3,2,2.5,2.0,2.5,198.0,193.5,1995.5,2319500.0,0,0,0,0,1,0
81,Crawley,2021,4,2,3.0,1.5,2.0,181.5,142.5,1991.0,950000.0,0,0,0,0,1,0
82,Crawley,2021,5,2,3.0,2.0,2.0,5556.0,171.5,1982.0,1365000.0,0,0,0,0,1,0
83,Crawley,2021,6,5,4.0,2.0,3.0,516.4,120.2,1949.0,1250000.0,0,0,0,0,1,0
84,East Perth,2020,4,1,1.0,1.0,1.0,84.0,48.0,2019.0,370000.0,0,0,0,0,0,0
85,East Perth,2020,5,10,1.9,1.6,1.2,114.5,80.2,2001.9,457700.0,0,0,0,0,0,0
86,East Perth,2020,6,14,2.2857142857142856,1.7142857142857142,1.3571428571428572,137.57142857142858,93.64285714285714,2009.357142857143,503464.28571428574,0,0,0,0,0,0
87,East Perth,2020,7,16,2.5,1.8125,1.5625,151.5,124.875,2003.4375,614086.75,0,0,0,0,0,0
88,East Perth,2020,8,14,2.642857142857143,1.7857142857142858,1.5714285714285714,272.57142857142856,123.85714285714286,2003.7857142857142,634908.9285714285,0,0,0,0,0,0
89,East Perth,2020,9,24,2.0,1.7083333333333333,1.2916666666666667,149.79166666666666,88.375,1999.7916666666667,528520.8333333334,0,0,0,0,0,0
90,East Perth,2020,10,19,1.631578947368421,1.4210526315789473,1.2105263157894737,118.84210526315789,72.47368421052632,2002.1052631578948,419973.6842105263,0,0,0,0,0,0
91,East Perth,2020,11,24,2.125,1.7083333333333333,1.2916666666666667,133.41666666666666,90.75,2002.875,493785.4166666667,0,0,0,0,0,0
92,East Perth,2020,12,17,2.2941176470588234,1.8823529411764706,1.411764705882353,182.64705882352942,100.76470588235294,2008.9411764705883,741029.4117647059,0,0,0,0,0,0
93,East Perth,2021,1,22,2.227272727272727,1.6818181818181819,1.4090909090909092,150.8181818181818,100.36363636363636,2005.2272727272727,778424.1818181818,0,0,0,0,0,0
94,East Perth,2021,2,20,1.95,1.55,1.15,137.4,79.4,2003.75,452375.0,0,0,0,0,0,0
95,East Perth,2021,3,25,2.0,1.6,1.2,121.52,85.48,2007.76,514880.0,0,0,0,0,0,0
96,East Perth,2021,4,22,2.272727272727273,1.8181818181818181,1.2727272727272727,123.5909090909091,97.13636363636364,2007.7272727272727,598431.8181818182,0,0,0,0,0,0
97,East Perth,2021,5,27,2.037037037037037,1.7037037037037037,1.2962962962962963,143.0,95.4074074074074,2003.1851851851852,600092.5925925926,0,0,0,0,0,0
98,East Perth,2021,6,21,2.380952380952381,1.7142857142857142,1.2857142857142858,125.71428571428571,97.71428571428571,2008.5714285714287,643851.8095238095,0,0,0,0,0,0
