,address,agent,bathrooms,bedrooms,building_size,built_date,car_space,full_address,land_size,lat,lng,postcode,price,property_type,rent,rent_date,sale_id,sold_date,state,suburb,perth,east_perth,west_perth,northbridge,crawley,nedlands
792,4 Constitution Street,Peter Wright,2,3,110,1996,2,4 Constitution Street East Perth WA 6004,206,-31.954140000000002,115.8813,6004,719000,Townhouse,590,2019-11,793,2020,WA,East Perth,0,1,0,0,0,0
806,105 Zebina Street,Paul Owen,1,3,131,1930,3,105 Zebina Street East Perth WA 6004,491,-31.940443899999998,115.87881570000002,6004,802000,House,0,1900-01,807,2020,WA,East Perth,0,1,0,0,0,0
807,Lot 1 of 46 Joel Terrace,not recorded,2,3,200,1925,2,Lot 1 of 46 Joel Terrace East Perth WA 6004,216,-31.94308,115.87993,6004,440000,House,0,1900-01,808,2020,WA,East Perth,0,1,0,0,0,0
821,12 Wittenoom Street,not recorded,2,4,250,2002,3,12 Wittenoom Street East Perth WA 6004,234,-31.9548,115.87898999999999,6004,1190000,House,750,2012-01,822,2020,WA,East Perth,0,1,0,0,0,0
831,39/193 Hay Street,not recorded,1,2,70,2000,1,39/193 Hay Street East Perth WA 6004,95,-31.959162199999998,115.87320159999999,6004,258000,House,0,1900-01,832,2020,WA,East Perth,0,1,0,0,0,0
832,44 Tully Road,not recorded,2,3,209,2003,2,44 Tully Road East Perth WA 6004,246,-31.948933899999997,115.8796037,6004,1050000,House,0,1900-01,833,2020,WA,East Perth,0,1,0,0,0,0
834,50 Wittenoom Street,Brendan Smith,3,4,217,2003,2,50 Wittenoom Street East Perth WA 6004,198,-31.9537169,115.8756737,6004,950000,House,730,2020-03,835,2020,WA,East Perth,0,1,0,0,0,0
840,40 Kensington Street,not recorded,2,3,183,2001,2,40 Kensington Street East Perth WA 6004,237,-31.949869699999997,115.8776152,6004,950000,House,650,2011-10,841,2020,WA,East Perth,0,1,0,0,0,0
844,23 Victory Terrace,not recorded,3,3,245,2000,2,23 Victory Terrace East Perth WA 6004,161,-31.949882300000002,115.879849,6004,975000,House,1000,2016-11,845,2020,WA,East Perth,0,1,0,0,0,0
847,24 Victory Terrace,not recorded,3,4,309,2000,2,24 Victory Terrace East Perth WA 6004,285,-31.949738899999996,115.88036709999999,6004,1545000,House,0,1900-01,848,2020,WA,East Perth,0,1,0,0,0,0
864,306/251 Hay Street,not recorded,1,1,67,2007,0,306/251 Hay Street East Perth WA 6004,75,-31.958364899999996,115.8708987,6004,227000,House,310,2017-12,865,2020,WA,East Perth,0,1,0,0,0,0
866,17/39 Bronte Street,not recorded,2,3,105,1990,2,17/39 Bronte Street East Perth WA 6004,168,-31.955768,115.8745682,6004,445000,Townhouse,390,2020-04,867,2020,WA,East Perth,0,1,0,0,0,0
