,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,rent,rent date,Building size
205,10/2 Waroonga Road,"$550,000",Oct 2018,,,,,150,ACTON Dalkeith,$410pw,Aug 2020,84
206,4B Waroonga Road,"$958,000",Oct 2018,House,3,2,2,504,Ockerby Real Estate - WA,$650pw,Dec 2015,162
207,81 The Avenue,"$1,530,000",Oct 2018,House,3,1,3,600,Hub Residential - SWANBOURNE,,,213
208,126 Princess Road,"$1,200,000",Oct 2018,House,3,2,2,810,Space Real Estate - Cottesloe,,,222
209,19 Napier Street,"$1,250,000",Oct 2018,House,4,2,2,697,One Agency West Coast,$800pw,Oct 2015,
210,15 Mountjoy Road,"$1,545,000",Oct 2018,,,,,"1,012",Duet Property Group - Nedlands,,,144
211,132 Dalkeith Road,"$1,550,000",Oct 2018,House,2,1,2,999,Ray White - Dalkeith | Claremont,$520pw,Jan 2020,
212,30 Stanley Street,"$1,615,000",Oct 2018,House,4,2,1,965,Hub Residential - SWANBOURNE,$600pw,Feb 2019,
213,75 Dalkeith Road,"$1,925,000",Oct 2018,House,4,2,2,"1,012",Duet Property Group - Nedlands,,,286
214,7 Bruce Street,"$1,700,000",Sep 2018,House,4,2,2,817,Duet Property Group - Nedlands,,,230
215,15 Napier Street,"$1,170,000",Sep 2018,House,4,2,2,664,Gordon Davies Real Estate - DALKEITH,$220pw,Aug 2014,
216,52 Louise Street,"$2,300,000",Sep 2018,House,4,2,4,"1,012",Abel Property - Leederville,,,195
217,41 Broome Street,"$1,505,000",Sep 2018,House,5,2,2,787,Ray White - Dalkeith | Claremont,"$1,150pw",Nov 2012,319
218,7/28 Stirling Highway,"$592,000",Sep 2018,,,,,110,Hub Residential - SWANBOURNE,,,110
219,7/79 Williams Road,"$900,000",Sep 2018,House,3,2,2,263,Mark Anderson,,,200
220,82 Monash Avenue,"$1,355,000",Aug 2018,House,2,1,1,533,Gordon Davies Real Estate - DALKEITH,,,
221,54 Viewway,"$1,520,000",Aug 2018,House,5,3,3,713,The Agency,,,
222,24 Loch Street,"$1,000,000",Aug 2018,House,3,1,1,697,Abel Property - Cottesloe,,,
223,11 Kingsway,"$2,180,000",Jul 2018,House,5,3,2,884,Ray White - Dalkeith | Claremont,,,
224,2 Dalkeith Road,"$1,400,000",Jul 2018,House,3,1,,"1,037",Abel McGrath Property Group - Claremont,,,
225,28 Williams Road,"$1,220,000",Jul 2018,House,3,1,2,456,Abel McGrath Property Group - Claremont,$530pw,Oct 2011,123
226,13 Boronia Avenue,"$1,620,000",Jul 2018,House,4,2,6,"1,036",William Porteous Properties International Pty Ltd ,"$1,100pw",Jun 2017,345
227,34 Stanley Street,"$1,530,000",Jul 2018,House,3,2,,"1,012",Rossen Real Estate - Nedlands,,,
228,117 Dalkeith Road,"$1,455,000",Jun 2018,House,3,1,1,"1,012",Caporn Young Estate Agents - Claremont,"$1,500pw",Apr 2021,
229,32 Lupin Hill Grove,"$1,380,000",Jun 2018,House,3,2,2,232,Realmark Western Suburbs - NEDLANDS,"$1,000pw",Apr 2015,223
230,18 Viewway,"$2,800,000",Jun 2018,House,5,3,2,883,Abel McGrath Property Group - Claremont,,,312
