,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,Building size,rent,rent date
135,609/130A Mounts Bay Road,"$189,000",Oct 2020,,,,,"2,168",,,$300pw,Oct 2020
136,39/120-122 Lake Street,"$330,000",Oct 2020,Apartment,,,,,,,,
137,27/132 Terrace Road,"$780,000",Oct 2020,Apartment,3,2,2,182,Peter Wright,110,$650pw,Aug 2020
138,5/152 Fitzgerald Street,"$374,000",Oct 2020,Apartment,2,1,1,,,,$400pw,Aug 2017
139,41/101 Murray Street,"$270,000",Oct 2020,Apartment,1,1,1,,,,$370pw,Jan 2021
140,12 Lane Street,"$780,000",Oct 2020,House,3,1,2,334,,,$480pw,Aug 2014
141,89/250 Beaufort Street,"$342,000",Oct 2020,,,,,129,,71,$460pw,Jan 2021
142,18/150 Stirling Street,"$310,000",Oct 2020,,,,,146,,83,$350pw,Jul 2018
143,909/305 Murray Street,"$262,500",Oct 2020,,,,,"1,594",,,$360pw,Jan 2020
144,12/71 Brewer Street,"$420,000",Oct 2020,Apartment,2,2,1,114,,,$390pw,Nov 2017
145,6 Edith Street,"$700,000",Oct 2020,Townhouse,4,2,2,224,Sven Robertson,166,$750pw,Jul 2017
146,85/33 Newcastle Street,"$305,000",Oct 2020,Apartment,1,1,1,67,,,$365pw,Jun 2017
147,37/250 Beaufort Street,"$290,000",Oct 2020,House,1,1,1,"10,672",,,$320pw,Jun 2019
148,4/71 Brewer Street,"$400,000",Oct 2020,Apartment,2,2,1,,,,$440pw,Dec 2018
149,2916/380 Murray Street,"$910,000",Oct 2020,Apartment,3,2,2,,,,$895pw,Jan 2021
150,2912/380 Murray Street,"$880,000",Oct 2020,Apartment,3,2,2,,,,$895pw,Jan 2021
151,611/380 Murray Street,"$490,000",Oct 2020,Apartment,,,,,,,,
152,23 Knebworth Avenue,"$735,000",Oct 2020,House,2,1,,264,Rob Edwards,,$500pw,May 2020
153,610/2 St Georges Terrace,"$324,000",Sep 2020,Apartment,1,1,1,90,,,$420pw,May 2019
154,10/10 Wright Street,"$447,500",Sep 2020,Townhouse,2,1,1,"1,363",,62,$460pw,Jun 2013
155,4B Stuart Street,"$680,000",Sep 2020,House,3,1,1,,,,$450pw,Apr 2020
156,81/22 St Georges Terrace,"$585,000",Sep 2020,House,2,2,1,"3,343",,90,$650pw,Oct 2020
157,1013/380 Murray Street,"$399,950",Sep 2020,Apartment,,,,,,,,
158,127/369 Hay Street,"$325,000",Sep 2020,,,,,"4,726",,,$410pw,Dec 2020
159,M13/811 Hay Street,"$260,000",Sep 2020,Apartment,1,1,,,,,$400pw,Dec 2014
160,52/101 Murray Street,"$265,000",Sep 2020,House,1,1,1,"2,269",,,$360pw,Jan 2018
161,132/250 Beaufort Street,"$341,000",Sep 2020,Apartment,2,1,1,,,,,
162,100/101 Murray Street,"$330,000",Aug 2020,Apartment,1,1,1,70,,,$450pw,Jan 2019
163,25/569 Wellington Street,"$480,000",Aug 2020,,,,,125,,98,$450pw,Nov 2018
164,8/133 Lincoln Street,"$260,000",Aug 2020,,,,,"3,665",,,$285pw,Apr 2020
165,504/12 Victoria Avenue,"$210,000",Aug 2020,Apartment,1,1,,,,,$395pw,Mar 2020
166,25 Moir Street,"$784,000",Aug 2020,House,3,1,1,278,,,$470pw,Jan 2019
167,67/418 Murray Street,"$346,000",Aug 2020,Apartment,,,,,,,,
168,193 Lake Street,"$820,000",Aug 2020,House,3,1,,273,,,,
169,5/168 Mounts Bay Road,"$1,435,000",Aug 2020,Apartment,3,2,4,,,,,
170,1-5/55 Gladstone Street,"$1,220,000",Aug 2020,House,1,1,1,,,,,
171,8/262 Lord Street,"$440,000",Aug 2020,,,,,"4,373",,77,$485pw,Jun 2016
172,33/67 Brewer Street,"$425,000",Aug 2020,Apartment,2,2,1,112,,,$410pw,Sep 2018
173,1503/105 Stirling Street,"$530,000",Aug 2020,Apartment,2,2,2,90,,,,
174,5/478 William Street,"$452,800",Aug 2020,Apartment,3,2,2,109,,,$625pw,Dec 2012
175,9/67 BREWER Street,"$275,000",Aug 2020,,,,,63,,,,
176,1/10 Pendal Lane,"$359,000",Aug 2020,,,,,"3,196",,90,$470pw,Jun 2010
177,93/101 Murray Street,"$333,000",Aug 2020,Apartment,1,1,1,70,,,$500pw,Nov 2017
178,22/150 Stirling Street,"$278,000",Aug 2020,,,,,146,,82,$340pw,Jul 2020
179,1805/237 Adelaide Terrace,"$500,000",Aug 2020,Apartment,2,2,1,78,,,$500pw,Nov 2019
180,1/33 Windsor Street,"$360,000",Jul 2020,,,,,97,,,$360pw,Mar 2020
181,2a Randell Street,"$775,000",Jul 2020,House,4,3,3,,,,,
182,1D/811 Hay Street,"$310,000",Jul 2020,Apartment,2,1,,868,,613,,
183,56/34 Palmerston Street,"$505,000",Jul 2020,Townhouse,2,2,1,132,,,,
184,166 Lake Street,"$1,000,000",Jul 2020,House,2,1,,188,Daniel Porcaro,,,
185,14/130 Terrace Road,"$320,000",Jul 2020,,,,,"2,455",,,$360pw,Mar 2021
186,83/250 Beaufort Street,"$385,000",Jul 2020,Apartment,2,2,2,"10,672",,83,$425pw,Jul 2018
187,10 Church Street,"$810,000",Jun 2020,House,3,2,1,144,Michael Mort,,$610pw,Aug 2017
188,8/418-428 Murray Street,"$315,000",Jun 2020,,,,,"1,850",,,$595pw,Jan 2013
189,29/101 Murray Street,"$620,000",Jun 2020,Apartment,3,2,2,128,Peter Wright,,,
190,16/448 Murray Street,"$335,000",Jun 2020,Apartment,2,1,1,90,,90,$450pw,Jan 2016
191,50/378 Beaufort Street,"$306,000",Jun 2020,Apartment,1,1,1,"3,250",,59,$420pw,Oct 2016
192,120/580 Hay Street,"$450,000",Jun 2020,,,,,134,,82,$550pw,Feb 2020
193,16 Robinson Avenue,"$760,000",Jun 2020,,,,,305,,116,"$39,950pw",Jan 2017
194,14/45-47 Stuart Street,"$735,000",Jun 2020,,,,,243,,,$750pw,Jun 2013
195,94/132 Terrace Road,"$650,000",Jun 2020,,,,,150,,91,,
196,4/418-428 Murray Street,"$320,000",May 2020,,,,,"1,850",,,$395pw,Oct 2018
197,4/82 King Street,"$585,000",May 2020,Apartment,1,2,1,"1,540",,150,$570pw,Jan 2012
198,62/101 Murray Street,"$290,000",May 2020,Apartment,1,1,1,"2,269",,,$530pw,Dec 2011
199,6/207 Bulwer Street,"$415,000",May 2020,Apartment,2,1,1,,,,,
200,11/75 Glendower Street,"$290,000",May 2020,Apartment,2,1,1,"1,220",,,$330pw,Jan 2021
201,2418/380 Murray Street,"$393,000",May 2020,Apartment,1,1,,,,,$420pw,Nov 2020
202,58/580 Hay Street,"$810,000",May 2020,Apartment,3,2,2,196,Cherry Li,116,$820pw,Aug 2016
203,27 Lane Street,"$615,000",Apr 2020,,,,,378,,79,,
204,12/580 Hay Street,"$525,000",Apr 2020,,,,,175,,102,$580pw,Sep 2019
205,30 Randell Street,"$715,000",Apr 2020,,,,,87,,87,,
206,44/250 Beaufort Street,"$415,000",Apr 2020,Apartment,2,2,2,"10,672",,80,$590pw,Aug 2013
207,19/65 Palmerston Street,"$575,000",Apr 2020,,,,,378,,118,$480pw,Nov 2018
208,23/22 St Georges Terrace,"$453,000",Apr 2020,Apartment,2,2,1,"3,343",,91,$750pw,Aug 2012
