,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
96,17/227 Vincent Street,"$142,000",Dec 2020,$200pw,Dec 2018,,,,,"7,674",,
97,7 Janet Street,"$790,000",Nov 2020,$500pw,Nov 2014,House,2,1,2,313,99,Rob Edwards
98,W7/161 Colin Street,"$276,000",Nov 2020,,,,,,,"1,123",,
99,22A Kingston Avenue,"$1,155,500",Nov 2020,,,House,4,2,2,379,,
100,1405/659 Murray Street,"$380,000",Nov 2020,$500pw,Nov 2020,Apartment,1,1,1,75,,
101,6/20 Walker Avenue,"$417,000",Nov 2020,$475pw,Jan 2021,Apartment,2,1,1,115,,
102,83/227 Vincent Street,"$155,000",Nov 2020,$230pw,Dec 2018,,,,,"7,674",,
103,1401/659 Murray Street,"$499,000",Nov 2020,,,Apartment,,,,,,
104,20/45 Ord Street,"$472,500",Nov 2020,$500pw,Sep 2020,Apartment,2,2,1,,,
105,16/8 Prowse Street,"$482,000",Nov 2020,$550pw,Jun 2018,,,,,125,80,
106,2/37 Mount Street,"$780,000",Oct 2020,,,Apartment,,,,,,
107,39/5 Delhi Street,"$430,000",Oct 2020,$550pw,Nov 2020,Apartment,3,2,1,97,,
108,13/2 Douro Place,"$460,000",Oct 2020,$450pw,Apr 2020,,,,,138,99,
109,78/227 Vincent Street,"$176,000",Oct 2020,,,Apartment,,,,,,
110,67/4 Delhi Street,"$365,000",Oct 2020,$480pw,Jul 2020,,,,,"3,242",81,
111,100/1178 Hay Street,"$410,000",Oct 2020,$435pw,May 2018,Apartment,2,1,1,"3,365",56,
112,101/18 Rheola Street,"$342,000",Oct 2020,,,Apartment,2,2,1,,,
113,29 Cowle Street,"$725,000",Oct 2020,$480pw,Feb 2020,House,2,1,2,761,,Theo Kouroulis
114,50/48 Havelock Street,"$400,000",Sep 2020,$480pw,Jan 2021,,,,,105,82,
115,11 Florence Street,"$925,000",Sep 2020,,,House,3,1,1,369,158,
116,23/863 Wellington Street,"$259,000",Sep 2020,$375pw,May 2021,,,,,"1,244",,
117,2/48 Outram Street,"$330,000",Sep 2020,$460pw,Jun 2012,Apartment,1,1,1,921,,
118,548 Newcastle Street,"$860,000",Sep 2020,"$51,450pw",Apr 2012,,,,,521,147,
119,10/12 Altona Street,"$625,000",Sep 2020,,,Apartment,2,2,2,166,95,Annie McCarthy
120,7/990 Wellington Street,"$349,000",Aug 2020,$380pw,Jul 2019,,,,,944,,
121,96/59 Malcolm Street,"$207,000",Aug 2020,$280pw,Dec 2016,,,,,,,
122,414/36 Mount Street,"$150,000",Aug 2020,$320pw,Jan 2021,Apartment,1,1,,,,Ivan Helman
123,48/1324 Hay Street,"$390,000",Aug 2020,$390pw,Jun 2017,,,,,111,68,
124,1/44-48 Cleaver Street,"$245,000",Aug 2020,$310pw,Mar 2021,,,,,"1,520",56,
125,96/38 Kings Park Road,"$370,000",Aug 2020,$420pw,Feb 2020,Apartment,2,1,2,"4,911",75,
126,1105/659 Murray Street,"$380,000",Aug 2020,,,Apartment,1,1,1,76,,
127,2/135 Carr Street,"$480,000",Jul 2020,$645pw,Sep 2019,,,,,"2,674",,
128,5/611 Murray Street,"$400,000",Jul 2020,$450pw,Mar 2021,Apartment,2,2,1,138,,
129,17/1142 Hay Street,"$265,000",Jul 2020,$340pw,Jun 2020,Apartment,1,1,1,622,,
130,14/1020 Wellington Street,"$410,000",Jul 2020,$495pw,Jun 2015,Apartment,2,2,1,131,98,
131,2/38 Cowle Street,"$340,000",Jul 2020,$350pw,Apr 2019,,,,,84,51,
132,55 Kingston Avenue,"$979,000",Jul 2020,,,House,3,1,,549,154,
133,24/1331 Hay Street,"$344,000",Jul 2020,$600pw,Nov 2013,Apartment,2,1,2,746,76,
134,25 Cowle Street,"$880,000",Jul 2020,,,House,,,,350,,Claude Iaconi
