,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
202,5/101 Francis Street,"$605,000",Feb 2015,,,,,,,170,142,
203,16/269 JAMES Street,"$430,000",Jan 2015,$350pw,Sep 2018,,,,,105,,
204,202/403 Newcastle Street,"$489,000",Jan 2015,$470pw,Sep 2014,Apartment,2,2,1,"1,209",74,Professionals Michael Johnson and Co - Mt Lawley
205,65/269 JAMES Street,"$602,500",Jan 2015,$450pw,Apr 2019,,,,,116,,
206,32/258-264 Newcastle Street,"$795,000",Jan 2015,$700pw,May 2016,Apartment,3,2,2,183,151,BOSS Real Estate - Northbridge
207,44/191 James Street,"$420,000",Dec 2014,$425pw,Jan 2021,Apartment,2,1,1,"1,797",,Radi Estates - INGLEWOOD
208,110/269 JAMES Street,"$667,500",Nov 2014,$630pw,Feb 2018,Apartment,2,2,2,127,,
209,19/269 JAMES Street,"$405,000",Nov 2014,$320pw,Oct 2017,,,,,,,
210,56/269 JAMES Street,"$595,000",Nov 2014,$480pw,Aug 2018,,,,,117,,
211,110/403 Newcastle Street,"$469,000",Nov 2014,$380pw,Sep 2017,Apartment,2,2,1,"1,209",74,Abel McGrath the Property People - Leederville
212,31/269 JAMES Street,"$395,000",Nov 2014,$375pw,Aug 2018,Apartment,1,1,1,,,
213,76/269 JAMES Street,"$430,000",Nov 2014,$360pw,May 2019,,,,,,,
214,67/269 JAMES Street,"$425,000",Nov 2014,$350pw,Aug 2018,Apartment,1,1,1,,,
215,101/269 JAMES Street,"$632,500",Nov 2014,$530pw,Apr 2021,Apartment,2,2,1,117,,
216,94/269 JAMES Street,"$440,000",Nov 2014,$370pw,Sep 2020,Apartment,1,1,1,,,
217,24/269 JAMES Street,"$405,000",Nov 2014,$330pw,Jun 2019,Apartment,1,1,1,,,
218,9/182 James Street,"$470,000",Oct 2014,$360pw,Nov 2019,Apartment,2,1,1,532,81,Abel McGrath the Property People - Leederville
219,1/101 Francis Street,"$462,000",Oct 2014,,,,,,,110,84,
220,16/5 Antonas Road,"$640,000",Oct 2014,$680pw,Jan 2021,Apartment,3,2,2,"1,187",125,Real Estate 88 - East Perth
221,32/154 Newcastle Street,"$425,000",Sep 2014,,,Apartment,1,1,1,,,Nicheliving Real Estate - Perth
222,3/101 Francis Street,"$638,000",Aug 2014,,,,,,,172,152,
223,239 James Street,"$4,280,000",Aug 2014,,,,,,,686,682,
224,233 James Street,"$4,280,000",Aug 2014,,,,,,,686,682,
225,7/17 Shenton Street,"$585,000",Aug 2014,$420pw,Mar 2018,Apartment,2,2,1,"2,048",133,Wright Real Estate - Scarborough
226,38/134-138 Aberdeen Street,"$546,000",Jul 2014,$420pw,Mar 2018,Apartment,2,2,11,,,
227,38/134 Aberdeen Street,"$546,000",Jul 2014,$600pw,Jun 2012,Apartment,2,2,2,"4,520",,Abel McGrath the Property People - Leederville
228,4/45 Shenton Street,"$530,000",Jul 2014,,,,,,,307,88,Perth Metro Property Group - OSBORNE PARK
229,116 James Street,"$5,600,000",Jul 2014,,,,,,,923,705,Davey Real Estate - North Beach
230,12/5 Antonas Road,"$595,000",Jul 2014,$400pw,Sep 2020,Apartment,2,2,1,107,80,MLG Realty - EAST PERTH
231,26/191 James Street,"$480,000",Jul 2014,$390pw,Dec 2017,Apartment,2,1,1,"1,797",79,Abel McGrath the Property People - Leederville
