,address,price,sold date,type,bedrooms,bathrooms,car space,agent,rent,rent date,Land size,Building size
88,1/26 The Avenue,"$849,000",Oct 2017,House,3,2,2,Perth Lifestyle Residential - Lifestyle Is Where I,,,,
89,8/126 Broadway,"$330,000",Oct 2017,,,,,,,,882,
90,3/4 Wingfield Avenue,"$875,000",Oct 2017,Townhouse,3,2,2,Shellabears - Cottesloe,,,222,
91,32/212 Hampden Road,"$252,000",Oct 2017,Apartment,1,1,1,Kempton Azzopardi - Nedlands,$260pw,Dec 2019,,
92,1/17-23 The Avenue,"$310,000",Oct 2017,Apartment,1,1,1,Acton - Dalkeith,$320pw,May 2012,"2,866",
93,8/8 Mounts Bay Road,"$2,050,000",Sep 2017,House,3,3,2,Perth Lifestyle Residential - Lifestyle Is Where I,,,284,181
94,12/10 Kings Park Avenue,"$2,900,000",Sep 2017,,,,,William Porteous Properties International Pty Ltd ,"$1,900pw",Feb 2011,924,187
95,4/133 Fairway,"$530,000",Aug 2017,Townhouse,2,1,1,LJ Hooker - Dalkeith | Claremont,$400pw,Oct 2016,607,97
96,7/10 The Avenue,"$1,125,000",Aug 2017,Apartment,3,2,2,Acton - Dalkeith,,,152,152
97,22/70-72 Broadway,"$253,000",Jul 2017,Apartment,1,1,1,,$285pw,Jan 2019,,
98,22/70 Broadway,"$253,000",Jul 2017,Apartment,1,1,1,Kempton Azzopardi - Nedlands,,,,
99,9E/16 Kings Park Avenue,"$1,300,000",Jul 2017,Apartment,3,2,2,Signature Property Group WA - SUBIACO,,,190,
100,7/10 Kings Park Avenue,"$1,720,000",Jun 2017,Apartment,3,3,3,Vivians Residential Real Estate - MOSMAN PARK,"$1,500pw",Apr 2016,578,187
101,12/18 The Avenue,"$505,000",Jun 2017,Apartment,2,1,1,Bellcourt Property Group - SHENTON PARK,$425pw,Feb 2018,"2,060",84
102,9/74 Broadway,"$500,000",May 2017,Apartment,3,1,1,Acton - Dalkeith,$600pw,Feb 2020,883,93
103,58/3 Park Avenue,"$1,475,000",May 2017,,,,,TM Residential - Dalkeith,$895pw,Oct 2018,175,175
104,5/18 The Avenue,"$480,000",May 2017,Apartment,2,1,1,MAS Real Estate - Nedlands,$335pw,Jan 2015,"2,059",78
105,6/18 The Avenue,"$540,000",May 2017,Apartment,2,1,1,MAS Real Estate - Nedlands,$395pw,Mar 2021,76,84
106,4/15 Cook Street,"$565,000",May 2017,Townhouse,3,1,1,LJ Hooker Claremont,,,102,6
107,13/48 Broadway,"$400,000",May 2017,Townhouse,2,1,1,Realmark Western Suburbs - NEDLANDS,$380pw,Aug 2020,"1,613",69
108,35/212 Hampden Road,"$285,000",Apr 2017,,,,,No Agent Property,,,"1,567",
109,3/166 Broadway,"$2,100,000",Apr 2017,Apartment,4,2,3,William Porteous Properties International Pty Ltd ,"$1,400pw",Oct 2016,368,272
110,9A Princess Road,"$955,000",Apr 2017,House,3,2,1,Acton North - CITY BEACH,,,286,172
111,3/121 Fairway,"$800,000",Mar 2017,Townhouse,3,2,1,Acton - Dalkeith,$550pw,Mar 2017,213,109
112,12/18 Park Road,"$525,000",Mar 2017,Apartment,1,1,1,Mint Real Estate - Claremont,$430pw,Apr 2019,,
113,8C Park Road,"$550,000",Mar 2017,Townhouse,1,1,1,Kempton Azzopardi - Nedlands,$395pw,May 2017,112,81
114,5/22 The Avenue,"$1,300,000",Mar 2017,Apartment,2,2,2,Realmark Western Suburbs - NEDLANDS,$770pw,Jul 2015,"4,524",142
115,10/14 Park Road,"$605,000",Mar 2017,House,3,1,1,Abel Property - Leederville,$440pw,Jul 2020,"2,157",101
